ZIP_CODE,PO_NAME,STATE,lat,lng,Shape_Leng,Shape_Area,zip_code_l
00188,Padre Island Ntl Seashore,TX,27.1248113787,-97.3355126526,5.75527506812,0.0222761134801,188
73960,Texhoma,TX,36.4928928235,-101.786345674,0.0851914360401,0.000300217028294,73960
75001,Addison,TX,32.9601590161,-96.8381723444,0.189998110203,0.000972258945638,75001
75002,Allen,TX,33.0891064598,-96.6111069524,0.730608245727,0.00949679583923,75002
75006,Carrollton,TX,32.9622100731,-96.8972946578,0.415288302812,0.00434256455838,75006
75007,Carrollton,TX,33.0050713049,-96.8964805828,0.357090812412,0.00290648161214,75007
75009,Celina,TX,33.3374647835,-96.7533782427,1.12578882517,0.025196244449,75009
75010,Carrollton,TX,33.0303048723,-96.8981795372,0.457674290823,0.00170446527002,75010
75013,Allen,TX,33.1141530841,-96.6952448308,0.384281887682,0.003600142307,75013
75019,Coppell,TX,32.9619110703,-96.9843587795,0.373084139026,0.00456771578512,75019
75020,Denison,TX,33.7735788666,-96.6053448717,0.800350307679,0.0164820426052,75020
75021,Denison,TX,33.7278733907,-96.4739436253,0.846933726177,0.0152251251679,75021
75022,Flower Mound,TX,33.0258538446,-97.1209447669,0.47745172612,0.00606391514472,75022
75023,Plano,TX,33.056341323,-96.7335223572,0.222821156328,0.00226175793456,75023
75024,Plano,TX,33.0771896276,-96.807110173,0.277509929135,0.0032115209125,75024
75025,Plano,TX,33.0902686155,-96.7400672629,0.281036249619,0.002454040015,75025
75028,Flower Mound,TX,33.0331496018,-97.0608896181,0.337970387484,0.00378860161475,75028
75032,Rockwall,TX,32.8588761894,-96.4200965116,0.755841758876,0.0157578302782,75032
75033,Frisco,TX,33.1847775382,-96.8422833056,0.371641891405,0.00557221629052,75033
75034,Frisco,TX,33.1210138181,-96.8375660901,0.346305123512,0.00397108177419,75034
75035,Frisco,TX,33.1573515453,-96.7735409578,0.491841624326,0.00607376855621,75035
75036,Frisco,TX,33.1314516766,-96.9178085136,0.376841389045,0.00431558643608,75036
75038,Irving,TX,32.8722688304,-96.9805574472,0.197742779463,0.00201858590025,75038
75039,Irving,TX,32.8881214221,-96.9421040465,0.240417718289,0.00138001126249,75039
75040,Garland,TX,32.9286479761,-96.619971156,0.294941360546,0.00390351803888,75040
75041,Garland,TX,32.8810186058,-96.6509719063,0.226372396201,0.00193927083947,75041
75042,Garland,TX,32.9138909561,-96.6746652856,0.194069272971,0.00188783793286,75042
75043,Garland,TX,32.856313698,-96.5807657284,0.382907356835,0.00459220277072,75043
75044,Garland,TX,32.9625430677,-96.6535049978,0.27346856443,0.00272124452018,75044
75048,Sachse,TX,32.9718276697,-96.5801856995,0.251314103142,0.00227308559196,75048
75050,Grand Prairie,TX,32.7739733184,-97.0038087322,0.547738413305,0.00645412129399,75050
75051,Grand Prairie,TX,32.727336262,-96.9916750598,0.358829109641,0.00377087446454,75051
75052,Grand Prairie,TX,32.6683838434,-97.02433208,0.510705198066,0.00703075318359,75052
75054,Grand Prairie,TX,32.5911123271,-97.0466342946,0.165903848018,0.000964888927927,75054
75056,The Colony,TX,33.0711612174,-96.9108726627,0.551205960804,0.00794008456308,75056
75057,Lewisville,TX,33.0504181195,-96.9819173398,0.450653873059,0.00375414746291,75057
75058,Gunter,TX,33.4489931393,-96.7368404967,0.822355133927,0.0130732884209,75058
75060,Irving,TX,32.7986009147,-96.9527960988,0.287387015406,0.00294678204637,75060
75061,Irving,TX,32.8259793802,-96.964949956,0.32650396114,0.00288546216431,75061
75062,Irving,TX,32.8466599589,-96.959123303,0.434326194412,0.00280774367298,75062
75063,Irving,TX,32.9208213223,-96.9759336284,0.331993662696,0.00285449796541,75063
75065,Lake Dallas,TX,33.1129096402,-97.0162671196,0.320858058054,0.00369839121561,75065
75067,Lewisville,TX,33.015363165,-97.0043383744,0.372943522065,0.00311395607107,75067
75068,Little Elm,TX,33.1784685567,-96.9513454538,0.508400679845,0.00912700288353,75068
75069,McKinney,TX,33.1669668461,-96.5963965738,0.583044389537,0.00823617455326,75069
75070,McKinney,TX,33.1564966285,-96.6959000767,0.324627397007,0.00290513453232,75070
75071,McKinney,TX,33.2456612577,-96.6280330979,1.18248866148,0.0200887180423,75071
75072,McKinney,TX,33.1874025467,-96.7021441373,0.372523606608,0.00324507219504,75072
75074,Plano,TX,33.0335450483,-96.6738631372,0.35281743516,0.00400291081649,75074
75075,Plano,TX,33.0219916787,-96.7394461068,0.238772424808,0.00234545197253,75075
75076,Pottsboro,TX,33.8073577918,-96.7087380348,0.923653267824,0.0181438485408,75076
75077,Lewisville,TX,33.0793563474,-97.0663623134,0.463698267721,0.00386844640545,75077
75078,Prosper,TX,33.2473479889,-96.8102341592,0.641661135971,0.00805578956596,75078
75080,Richardson,TX,32.9743646586,-96.7419052566,0.247913757588,0.00281021846261,75080
75081,Richardson,TX,32.9489297096,-96.7107025093,0.231082022428,0.00235029660609,75081
75082,Richardson,TX,32.9921042058,-96.6650073273,0.297496181765,0.00208869203982,75082
75087,Rockwall,TX,32.9444054716,-96.4533663085,0.544832133989,0.010224212678,75087
75088,Rowlett,TX,32.8896247549,-96.5505186707,0.332817262383,0.00329979802875,75088
75089,Rowlett,TX,32.9305160114,-96.5511546166,0.302659042116,0.00318797797507,75089
75090,Sherman,TX,33.6039775255,-96.5458486604,1.24211814049,0.0206740384706,75090
75092,Sherman,TX,33.6482412403,-96.7000980378,1.24591858665,0.0278471162278,75092
75093,Plano,TX,33.0342688272,-96.8078227606,0.340631899944,0.00350808419471,75093
75094,Plano,TX,33.0184978705,-96.6158616217,0.276503468987,0.0017341866058,75094
75098,Wylie,TX,33.0188538505,-96.5380408588,0.640576259936,0.00962817688493,75098
75102,Barry,TX,32.0881479447,-96.6340962662,0.924206761003,0.0197565010058,75102
75103,Canton,TX,32.5091641584,-95.8839381225,1.39457714681,0.0500087456455,75103
75104,Cedar Hill,TX,32.5884038094,-96.9753614555,0.615405755255,0.0110198682518,75104
75105,Chatfield,TX,32.2722299709,-96.3786241118,0.657586287934,0.0112104611908,75105
75109,Corsicana,TX,32.0470068507,-96.3539772464,1.20736823046,0.0364933515147,75109
75110,Corsicana,TX,32.0751082768,-96.5163523382,1.1651327317,0.0334709271563,75110
75114,Crandall,TX,32.6200664873,-96.4382488998,0.591942860377,0.00973893507455,75114
75115,Desoto,TX,32.5986446706,-96.8648713309,0.400098492102,0.00560262333374,75115
75116,Duncanville,TX,32.6601587587,-96.9138686937,0.181545748562,0.0012934908625,75116
75117,Edgewood,TX,32.7063242171,-95.8481945413,0.842045964452,0.0113245870683,75117
75119,Ennis,TX,32.3293846167,-96.5914204351,1.67182281722,0.0629445956155,75119
75124,Eustace,TX,32.3258283539,-95.9684915287,1.41899785008,0.0242092080376,75124
75125,Ferris,TX,32.5284307462,-96.6178238844,1.02682459122,0.0197147085875,75125
75126,Forney,TX,32.7428524787,-96.453691161,0.741517198311,0.0209533624949,75126
75127,Fruitvale,TX,32.6979670012,-95.7847488536,0.654705465125,0.00790055043289,75127
75134,Lancaster,TX,32.6213754384,-96.7728485367,0.39841540641,0.00360031022251,75134
75135,Caddo Mills,TX,33.0654993105,-96.2269521427,0.830277369216,0.0156063584043,75135
75137,Duncanville,TX,32.6340482634,-96.9115887415,0.189884154495,0.00151616162415,75137
75140,Grand Saline,TX,32.6421102382,-95.6857489403,1.07131787461,0.0282614506563,75140
75141,Hutchins,TX,32.6361408288,-96.6896068916,0.454967233698,0.00267327460277,75141
75142,Kaufman,TX,32.566349965,-96.2474397863,1.56257713929,0.0479682806718,75142
75143,Kemp,TX,32.3631457703,-96.2517146523,1.85322400483,0.0481165655094,75143
75144,Kerens,TX,32.1023131821,-96.1970542876,1.43359716478,0.0430225018541,75144
75146,Lancaster,TX,32.5739906611,-96.7506081854,0.452920404216,0.00824599760704,75146
75147,Mabank,TX,32.4236062349,-96.0669856108,1.01542816707,0.0201546133166,75147
75148,Malakoff,TX,32.1293229568,-96.0027726112,1.46713880478,0.0217455303122,75148
75149,Mesquite,TX,32.7697241455,-96.6134835665,0.394605008625,0.00414891738664,75149
75150,Mesquite,TX,32.815852859,-96.6296321715,0.28669828497,0.00303663831549,75150
75152,Palmer,TX,32.4324216125,-96.6786230445,0.92632311487,0.00950493647818,75152
75153,Powell,TX,32.1588565619,-96.346563597,0.38696819072,0.00433996487638,75153
75154,Red Oak,TX,32.5233183928,-96.8121188582,0.869066701829,0.0116528539778,75154
75155,Rice,TX,32.2239190103,-96.4267428779,1.04442001702,0.0169924672754,75155
75156,Mabank,TX,32.2769797939,-96.1054482723,1.60741617389,0.0152974609719,75156
75157,Rosser,TX,32.4597365903,-96.4567765914,0.0580126497802,0.000213815748876,75157
